"id_unique";"objet"
"7GZLNFSR4N";"evaluation du systeme de financement des missions locales pour le conseil regional d'ile de france  a paris"
"A16ENYRYNL";"etude d'evaluation des actions collectives du ministere de l'industrie a paris"
"MG1A5LCXET";"evaluation environnementale du projet de plan local d'urbanisme plu et poursuite de la procedure y compris modification eventuelle des documents apres enquete a calvi"
"3LU8GZE6SD";"amelioration de la methode d'evaluation des ressources en bois disponibles a l'echelle nationale pour la production de combustibles bois energie ou de biocarburants a angers"
"6V0MK6IKIB";"realisation d'une etude d'evaluation environnementale du plu de saint andre"
"KCTW4N5DR6";"prestation d'evaluation du dispositif d'accompagnement  objectif creation  a limoges"
"NQ2X1P104R";"evaluation des publications periodiques de rennes metropole et de la ville de rennes   a savoir   le rennais    l'info metropole  et  sortir "
"STX1682ASQ";"evaluation et prospective de l'offre de service velos sur l'agglomeration a tours"
"BWPTDLVORQ";"evaluation de l'efficacite des operations financees par l'agence de l'eau loire bretagne d'orleans sur les reseaux d'assainissement"
"IKED4I6K03";"evaluation economique des zones humides dans le bassin artois   picardie a douai"
"00WKP384D7";"structuration du programme de travail et de la methodologie de definition  de validation et d'evaluation des prestations de l'anap des etablissements de sante et medico sociaux a paris"
"LHK3O99M2V";"etude d'evaluation environnementale d'un plan local d'urbanisme pour la ville de lisses"
"D7Z4RK1SOM";"evaluation a mi parcours du grand projet 5 du contrat de projet etat region 2007 2013 a orleans"
"21PCJLKH5H";"evaluation groupee des fsp d'appui a l'enseignement du francais en tanzanie et au kenya "
"W8YDQG3NLZ";"evaluation de la renovation du dispositif d'appui technique aux eleveurs ovins viande a montreuil sous bois cedex"
"RZ0VST01L0";"evaluation de la gestion des donnees techniques a l'agence de l'eau loire bretagne a orleans 45"
"9VKL8T6WQN";"accompagnement a l'evaluation des facteurs environnementaux et societaux dans le cadre d'un projet de logistique en genie civil   projet orloges"
"ASJ97ZCXHS";"le marche a pour objet l'evaluation partagee de la mise en oeuvre du plan departemental de gestion des dechets menagers et assimiles de la gironde  adopte le 26 octobre 2007 "
